marque,modele,annee,annee_i,Type,SousType,carburant,carburant_n,tranche_km,n_total,prix_min_w,prix_max_w,prix_moyen_w,prix_median_w,prix_min_estime,prix_max_estime,prix_moyen_estime,prix_median_estime,prix_moyen_final,estimation_eur_f,roi_brut_mensuel,payback_mois,taux_rentabilite,presence_marche_fuel,presence_marche_total,any_error,errors,statut,marque_n,modele_n
Citroen,C1,2019,2019,Citadine,Mini,,diesel,50-100 000 km,7.0,7800.0,12499.0,9468.0,8990.0,7800.0,12499.0,9468.0,8990.0,9468.0,189.0,0.019961977186311788,50.095238095238095,1.1977186311787071,14.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2019,2019,Citadine,Mini,,essence,50-100 000 km,10.0,6990.0,9500.0,8122.0,8122.0,6990.0,9500.0,8122.0,8122.0,8122.0,189.0,0.023270130509726667,42.973544973544975,1.3962078305836,24.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2020,2020,Citadine,Mini,,diesel,0-50 000 km,5.0,8000.0,10500.0,9218.0,9300.0,8000.0,10500.0,9218.0,9300.0,9218.0,189.0,0.020503362985463226,48.77248677248677,1.2302017791277935,15.0,31.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2020,2020,Citadine,Mini,,essence,0-50 000 km,5.0,8000.0,10500.0,9218.0,9300.0,8000.0,10500.0,9218.0,9300.0,9218.0,189.0,0.020503362985463226,48.77248677248677,1.2302017791277935,16.0,31.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2020,2020,Citadine,Mini,,diesel,100-150 000 km,5.0,8000.0,10500.0,9218.0,9300.0,8000.0,10500.0,9218.0,9300.0,9218.0,189.0,0.020503362985463226,48.77248677248677,1.2302017791277935,15.0,31.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2020,2020,Citadine,Mini,,essence,100-150 000 km,5.0,8000.0,10500.0,9218.0,9300.0,8000.0,10500.0,9218.0,9300.0,9218.0,189.0,0.020503362985463226,48.77248677248677,1.2302017791277935,16.0,31.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2020,2020,Citadine,Mini,,diesel,50-100 000 km,5.0,8000.0,10500.0,9218.0,9300.0,8000.0,10500.0,9218.0,9300.0,9218.0,189.0,0.020503362985463226,48.77248677248677,1.2302017791277935,15.0,31.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2020,2020,Citadine,Mini,,essence,50-100 000 km,6.0,8000.0,10500.0,9098.0,8899.0,8000.0,10500.0,9098.0,8899.0,9098.0,189.0,0.020773796438777754,48.13756613756614,1.2464277863266653,16.0,31.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2021,2021,Citadine,Mini,,diesel,0-50 000 km,6.0,8495.0,10490.0,9544.0,9544.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,18.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2021,2021,Citadine,Mini,,essence,0-50 000 km,7.0,8495.0,10490.0,9395.0,9490.0,8495.0,10490.0,9395.0,9490.0,9395.0,198.0,0.021075039914848322,47.44949494949495,1.2645023948908993,20.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2021,2021,Citadine,Mini,,diesel,100-150 000 km,6.0,8495.0,10490.0,9544.0,9544.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,18.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2021,2021,Citadine,Mini,,essence,100-150 000 km,6.0,8495.0,10490.0,9544.0,9544.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,20.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2021,2021,Citadine,Mini,,diesel,50-100 000 km,6.0,8495.0,10490.0,9544.0,9544.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,18.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2021,2021,Citadine,Mini,,essence,50-100 000 km,7.0,8495.0,10490.0,9409.0,9490.0,8495.0,10490.0,9409.0,9490.0,9409.0,198.0,0.021043681581464555,47.52020202020202,1.2626208948878732,20.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2022,2022,Citadine,Mini,,diesel,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2022,2022,Citadine,Mini,,essence,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9395.0,9490.0,9395.0,198.0,0.021075039914848322,47.44949494949495,1.2645023948908993,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2022,2022,Citadine,Mini,,diesel,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2022,2022,Citadine,Mini,,essence,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2022,2022,Citadine,Mini,,diesel,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,198.0,0.020746018440905283,48.2020202020202,1.244761106454317,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2022,2022,Citadine,Mini,,essence,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9409.0,9490.0,9409.0,198.0,0.021043681581464555,47.52020202020202,1.2626208948878732,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2023,2023,Citadine,Mini,,diesel,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,207.0,0.02168901927912825,46.106280193236714,1.301341156747695,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2023,2023,Citadine,Mini,,essence,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9395.0,9490.0,9395.0,207.0,0.022032996274614157,45.38647342995169,1.3219797764768493,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2023,2023,Citadine,Mini,,diesel,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,207.0,0.02168901927912825,46.106280193236714,1.301341156747695,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2023,2023,Citadine,Mini,,essence,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,207.0,0.02168901927912825,46.106280193236714,1.301341156747695,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2023,2023,Citadine,Mini,,diesel,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,207.0,0.02168901927912825,46.106280193236714,1.301341156747695,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2023,2023,Citadine,Mini,,essence,50-100 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9409.0,9490.0,9409.0,207.0,0.022000212562440218,45.45410628019324,1.320012753746413,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2024,2024,Citadine,Mini,,diesel,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,216.0,0.022632020117351215,44.18518518518518,1.3579212070410729,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2024,2024,Citadine,Mini,,essence,0-50 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9395.0,9490.0,9395.0,216.0,0.022990952634379988,43.495370370370374,1.3794571580627994,0.0,0.0,True,TimeoutError: Page.goto: Timeout 30000ms exceeded.,Devenu incompatible,citroen,c1
Citroen,C1,2024,2024,Citadine,Mini,,diesel,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,216.0,0.022632020117351215,44.18518518518518,1.3579212070410729,0.0,0.0,True,,Devenu incompatible,citroen,c1
Citroen,C1,2024,2024,Citadine,Mini,,essence,100-150 000 km,0.0,0.0,0.0,0.0,0.0,8495.0,10490.0,9544.0,9544.0,9544.0,216.0,0.022632020117351215,44.18518518518518,1.3579212070410729,0.0,0.0,True,,Devenu incompatible,citroen,c1
